id	name	colorfulness	minEnergy	alpha	lightning	globalActivity	nbWhiteFrames	nbSceneCuts	cutLength	flatness_env	wtf_max2stdratio_1	wtf_max2stdratio_2	wtf_max2stdratio_3	wtf_max2stdratio_4	wtf_max2stdratio_5	wtf_max2stdratio_6	wtf_max2stdratio_7	wtf_max2stdratio_8	wtf_max2stdratio_9	wtf_max2stdratio_10	wtf_max2stdratio_11	wtf_max2stdratio_12	medianLightness	slope
0	ACCEDE00000.mp4	47.939117	0.540554	5	1.057049	0.100531	0	1	117	0.005686	5.41E+00	5.48E+00	5.03E+00	4.57E+00	4.00E+00	3.27E+00	2.37E+00	1.69E+00	1.46E+00	1.42E+00	1.41E+00	4.32E+15	0.431373	1.414934
1	ACCEDE00001.mp4	52.748894	0.798568	41	0.464044	0.062712	0	1	153	0	5.42E+00	5.51E+00	5.30E+00	4.95E+00	4.32E+00	3.76E+00	2.91E+00	2.03E+00	1.57E+00	1.43E+00	1.41E+00	3.53E+15	0.219608	1.354866
2	ACCEDE00002.mp4	60.224403	0.833286	50	0.294487	0.322534	0	3	52	0	5.18E+00	5.14E+00	4.81E+00	4.53E+00	4.13E+00	3.31E+00	2.77E+00	2.19E+00	1.54E+00	1.42E+00	1.41E+00	2.42E+15	0.4	1.312889
3	ACCEDE00003.mp4	82.669434	1.017838	43	0.447583	0.70555	0	1	52	0	5.14E+00	5.15E+00	4.83E+00	4.37E+00	3.86E+00	3.20E+00	2.74E+00	2.39E+00	1.74E+00	1.44E+00	1.41E+00	2.09E+15	0.521569	1.334575
4	ACCEDE00004.mp4	64.427177	0.670391	38	0.059518	0.127405	0	1	117	0	5.09E+00	5.10E+00	4.75E+00	4.28E+00	3.74E+00	3.15E+00	2.82E+00	2.38E+00	1.68E+00	1.43E+00	1.41E+00	1.97E+15	0.47451	1.390362
5	ACCEDE00005.mp4	59.896679	0.852062	31	0.148373	0.106458	0	1	152	0	5.14E+00	5.12E+00	4.87E+00	4.45E+00	3.98E+00	3.40E+00	2.88E+00	2.30E+00	1.63E+00	1.43E+00	1.41E+00	2.19E+15	0.470588	1.436904
6	ACCEDE00006.mp4	44.781807	0.956567	48	1.401878	0.068769	0	1	141	0	5.20E+00	5.23E+00	4.92E+00	4.39E+00	3.84E+00	3.36E+00	2.89E+00	2.35E+00	1.63E+00	1.42E+00	1.41E+00	2.04E+15	0.32549	1.3699
7	ACCEDE00007.mp4	56.581673	0.94564	42	0.071817	0.195562	0	3	63	0.036094	5.10E+00	5.07E+00	4.75E+00	4.37E+00	3.90E+00	3.23E+00	2.75E+00	2.31E+00	1.59E+00	1.43E+00	1.41E+00	2.62E+15	0.431373	1.387032
8	ACCEDE00008.mp4	66.858261	0.661873	39	0.155335	0.584721	0	0	0	0	5.08E+00	5.04E+00	4.63E+00	4.16E+00	3.55E+00	3.10E+00	2.79E+00	2.39E+00	1.68E+00	1.43E+00	1.41E+00	2.15E+15	0.309804	1.367238
9	ACCEDE00009.mp4	57.232445	0.767595	32	0.204125	0.122521	0	0	0	0	5.19E+00	5.23E+00	4.96E+00	4.49E+00	3.96E+00	3.37E+00	2.84E+00	2.26E+00	1.60E+00	1.43E+00	1.41E+00	2.41E+15	0.454902	1.404063
10	ACCEDE00010.mp4	55.741066	0.795588	32	0.050054	0.123999	0	0	0	0	5.23E+00	5.25E+00	4.98E+00	4.53E+00	4.02E+00	3.45E+00	2.87E+00	2.25E+00	1.59E+00	1.42E+00	1.41E+00	2.97E+15	0.435294	1.388866
11	ACCEDE00011.mp4	57.119896	0.708474	41	0.100348	0.223572	0	5	37.799999	0	5.18E+00	5.15E+00	4.79E+00	4.40E+00	3.95E+00	3.38E+00	2.78E+00	2.19E+00	1.58E+00	1.43E+00	1.41E+00	1.96E+15	0.92549	1.319593
12	ACCEDE00012.mp4	53.472397	0.960417	40	0.705898	0.22468	0	1	39	0	5.35E+00	5.51E+00	5.23E+00	4.76E+00	4.23E+00	3.67E+00	2.84E+00	2.02E+00	1.56E+00	1.43E+00	1.41E+00	3.19E+15	0.184314	1.367773
13	ACCEDE00013.mp4	82.004982	0.852046	41	0.153797	0.25842	0	3	46.666668	0	5.16E+00	5.18E+00	4.83E+00	4.29E+00	3.72E+00	3.17E+00	2.77E+00	2.35E+00	1.64E+00	1.43E+00	1.41E+00	1.86E+15	0.462745	1.428087
14	ACCEDE00014.mp4	42.235054	0.611855	43	0.200789	0.206722	0	2	88	0	4.93E+00	4.88E+00	4.65E+00	4.42E+00	4.04E+00	3.23E+00	2.69E+00	2.08E+00	1.51E+00	1.41E+00	1.41E+00	2.37E+15	0.333333	1.339651
15	ACCEDE00015.mp4	89.741394	0.708765	39	0.532613	0.345441	0	3	59.666668	0.069256	4.79E+00	4.76E+00	4.79E+00	4.39E+00	3.92E+00	3.30E+00	2.83E+00	2.12E+00	1.62E+00	1.43E+00	1.41E+00	1.53E+15	0.596078	1.28376
16	ACCEDE00016.mp4	64.568863	0.611805	41	1.14499	0.32923	0	3	41.333332	0	5.17E+00	5.26E+00	5.10E+00	4.81E+00	4.25E+00	3.60E+00	2.89E+00	2.09E+00	1.55E+00	1.42E+00	1.41E+00	2.65E+15	0.988235	1.327305
17	ACCEDE00017.mp4	74.719986	0.945885	43	0.047631	0.384659	0	2	67	0	5.26E+00	5.31E+00	5.03E+00	4.53E+00	4.07E+00	3.56E+00	2.88E+00	2.17E+00	1.59E+00	1.42E+00	1.41E+00	2.13E+15	0.435294	1.397043
18	ACCEDE00018.mp4	40.207561	0.350193	61	0.68216	1.043906	5	7	29.571428	0	5.19E+00	5.26E+00	4.99E+00	4.58E+00	4.06E+00	3.50E+00	2.87E+00	2.19E+00	1.59E+00	1.43E+00	1.41E+00	3.10E+15	0.827451	1.433729
19	ACCEDE00019.mp4	32.266323	0.846569	39	1.67153	0.348054	0	2	87.5	0	5.18E+00	5.24E+00	4.93E+00	4.48E+00	3.94E+00	3.41E+00	2.91E+00	2.27E+00	1.63E+00	1.43E+00	1.41E+00	2.75E+15	0.568627	1.457799
20	ACCEDE00020.mp4	81.678032	0.806534	25	0.296924	0.205542	0	1	165	0.256456	5.22E+00	5.36E+00	5.10E+00	4.62E+00	4.13E+00	3.50E+00	2.79E+00	2.10E+00	1.56E+00	1.43E+00	1.41E+00	4.10E+15	0.529412	1.407226
